GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
simple-service,com.example.util,PrepareData,55,0,2,0,17,0,3,0,2,0
simple-service,com.example,ClientApp.1.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
simple-service,com.example,ClientApp.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
simple-service,com.example,User,36,12,0,0,11,5,7,2,7,2
simple-service,com.example,ClientApp.new ActionListener() {...},47,0,2,0,7,0,3,0,2,0
simple-service,com.example,ClientApp.new Runnable() {...},6,0,0,0,3,0,2,0,2,0
simple-service,com.example,ClientApp.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
simple-service,com.example,MyResource,0,5,0,0,0,2,0,2,0,2
simple-service,com.example,Main,21,16,0,0,7,2,2,1,2,1
simple-service,com.example,ClientApp,143,0,0,0,33,0,2,0,2,0
simple-service,com.example,UsersResource,23,0,0,0,8,0,2,0,2,0
